stadium name,City/State,Year built,indoor/outdoor,Address,Dome/Outdoors,Field,Lat,Long,stadium,team_away
Tampa Stadium,"Tampa, FL",,,,,,,,Mercedes-Benz Stadium,Tennessee Titans
Tiger Stadium,"Detroit, MI",,outdoor,"2121 Trumbull Ave., Detroit, MI 48216",cold,Grass,,,M&T Bank Stadium,Cleveland Browns
Tulane Stadium,"New Orleans, LA",,outdoor,"Willow St. & Audubon Blvd., New Orleans, LA 70118",warm,"Grass, Turf (1971-1974)",33.4552,-111.9316,New Era Field,New England Patriots
Twickenham Stadium,"London, UK",1909,outdoor,"200 Whitton Road, TW2 7BA, London, UK",moderate,,,,Soldier Field,Minnesota Vikings
U.S. Bank Stadium,"Minneapolis, MN",2016,indoor,"401 Chicago Ave, Minneapolis, MN 55415",dome,FieldTurf,,,Sports Authority Field at Mile High,Jacksonville Jaguars
University of Phoenix Stadium,"Glendale, AZ",2006,retractable,"1 Cardinals Dr, Glendale, AZ 85305",dome,Grass,,,Ford Field,Kansas City Chiefs
Wembley Stadium,"London, UK",2007,outdoor,"Wembley, London HA9 0WS, United Kingdom",moderate,,,,NRG Stadium,Carolina Panthers
Yale Bowl,"New Haven, CT",,outdoor,"276 Derby Ave, West Haven, CT 06516",cold,Grass,,,Lucas Oil Stadium,Oakland Raiders
Yankee Stadium,"Bronx, NY",,outdoor,,cold,,,,Los Angeles Memorial Coliseum,Tampa Bay Buccaneers
,,,,,,,,,Hard Rock Stadium,Los Angeles Chargers
,,,,,,,,,Mercedes-Benz Superdome,Dallas Cowboys
,,,,,,,,,MetLife Stadium,Washington Redskins
,,,,,,,,,Heinz Field,Cincinnati Bengals
,,,,,,,,,CenturyLink Field,Los Angeles Rams
,,,,,,,,,Bank of America Stadium,Jacksonville Jaguars
,,,,,,,,,Paul Brown Stadium,Arizona Cardinals
,,,,,,,,,AT&T Stadium,Green Bay Packers
,,,,,,,,,NRG Stadium,Atlanta Falcons
,,,,,,,,,Arrowhead Stadium,Indianapolis Colts
,,,,,,,,,StubHub Center,Denver Broncos
,,,,,,,,,Mercedes-Benz Superdome,Tampa Bay Buccaneers
,,,,,,,,,MetLife Stadium,Minnesota Vikings
,,,,,,,,,Tottenham Hotspur Stadium,Chicago Bears
,,,,,,,,,Lincoln Financial Field,New York Jets
,,,,,,,,,Heinz Field,Baltimore Ravens
,,,,,,,,,Nissan Stadium,Buffalo Bills
,,,,,,,,,FedEx Field,New England Patriots
,,,,,,,,,Levi's Stadium,Cleveland Browns
,,,,,,,,,Gillette Stadium,New York Giants
,,,,,,,,,University of Phoenix Stadium,Atlanta Falcons
,,,,,,,,,M&T Bank Stadium,Cincinnati Bengals
,,,,,,,,,FirstEnergy Stadium,Seattle Seahawks
,,,,,,,,,Sports Authority Field at Mile High,Tennessee Titans
,,,,,,,,,TIAA Bank Field,New Orleans Saints
,,,,,,,,,Arrowhead Stadium,Houston Texans
